IMG_,@Photos,DESCRIPTION,URL STRING,LINK,YEAR,TYPE,STATUS,TYPOLOGY_01,TYPOLOGY_02,REM?,,TEAM_01,TEAM_02,TEAM_03,TEAM_04,TEAM_05,TEAM_06,TEAM_07,TEAM_08,TEAM_09,TEAM_10,TEAM_11,TEAM_12,TEAM_13,TEAM_14,TEAM_15,TEAM_16,TEAM_17,TEAM_18,TEAM_19,TEAM_20,TEAM_21,TEAM_22,TEAM_23,TEAM_24,TEAM_25,TEAM_26,TEAM_27,TEAM_28,TEAM_29,TEAM_30,TEAM_31,TEAM_32,TEAM_33,TEAM_34,TEAM_35,TEAM_36,TEAM_37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\001.jpg,Delirious New York,Delirious-New-York,oma.eu,1978,Publication,Publication,N/A,,TRUE,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\002.jpg,Dutch Parliament Extension,Dutch-Parliament-Extension,oma.eu,1978,Project,Competition,Office,,TRUE,,Zaha Hadid,Richard Perlemutter,Ron Steiner,Elias Veneris,Elia Zenghelis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\003.jpg,Irish Prime Minister's Residence,Irish-Prime-Minister's-Residence,oma.eu,1979,Project,Competition,Office,,TRUE,,Alan Forster,Stefano de Martino,Ron Steiner,Elia Zenghelis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\004.jpg,Boompjes,Boompjes,oma.eu,1980,Project,Commissioned Study,Residential,,TRUE,,Kees Christiaanse,Gerard Comello,Stefano de Martino,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\005.jpg,Kochstrasse / Friedrichstrasse Housing,Kochstrasse-Friedrichstrasse-Housing,oma.eu,1980,Project,Competition,Residential,,TRUE,,Herman de Kovel,Stefano de Martino,Richard Perlemutter,Ricardo Simonini,Ron Steiner,Alex Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\006.jpg,Koepel Panopticon Prison,Koepel-Panopticon-Prison,oma.eu,1980,Project,Commissioned Study,Infrastructure,,TRUE,,Mike Guyer,Thijs de Haan,Vahé Kalousdian,Brigitte Kochta,Victor Mani,Luc Reuse,Georg Ritschl,Karin Rühle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\007.jpg,Lützowstrasse Housing,Lützowstrasse-Housing,oma.eu,1980,Project,Competition,Residential,,FALSE,,Norman Chang,Omri Eytan,Katerina Galani,Andreas Kourkoulas,Batsheva Ronen,Ricardo Simonini,Ron Steiner,Katerina Tsigaridas,Alex Wall,Zoe Zenghelis,Elia Zenghelis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\008.jpg,Parc de la Villette,Parc-de-la-Villette,oma.eu,1982,Project,Competition,Landscape,,TRUE,,Kees Christiaanse,Stefano de Martino,Ruurd Roorda,Ron Steiner,Jan Voorberg,Alex Wall,Elia Zenghelis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\009.jpg,Exposition Universelle,Exposition-Universelle,oma.eu,1983,Project,Design Development,Masterplan,,TRUE,,Kees Christiaanse,Stefano de Martino,Willem-Jan Neutelings,Ron Steiner,Alex Wall,Elia Zenghelis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\010.jpg,Churchillplein,Churchillplein,oma.eu,1984,Project,Competition,Office,,TRUE,,Kees Christiaanse,Jaap van Heest,Götz Keller,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\011.jpg,De Bol,De-Bol,oma.eu,1985,Project,Commissioned Study,Masterplan,,TRUE,,Kees Christiaanse,Jaap van Heest,Götz Keller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\012.jpg,Lintas,Lintas,oma.eu,1985,Project,Completed,Office,,FALSE,,Kees Christiaanse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\013.jpg,Morgan Bank,Morgan-Bank,oma.eu,1985,Project,Competition,Office,,TRUE,,Kees Christiaanse,Xaveer de Geyter,Jaap van Heest,Georges Heintz,Götz Keller,Karin Rühle,Ron Steiner,Alex Wall,Elia Zenghelis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\014.jpg,Parc Citroen Cevennes,Parc-Citroen-Cevennes,oma.eu,1985,Project,Competition,Landscape,,FALSE,,Eleni Gigantes,Georges Heintz,Matthias Sauerbruch,Alex Wall,Elia Zenghelis,Zoe Zenghelis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\015.jpg,Police Station,Police-Station,oma.eu,1985,Project,Completed,Office,,TRUE,,Arjan Karssenberg,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\016.jpg,Torenstraat,Torenstraat,oma.eu,1985,Project,Commissioned Study,Masterplan,,TRUE,,Kees Christiaanse,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
017,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\017.jpg,Bijlmermeer Redevelopment,Bijlmermeer-Redevelopment,oma.eu,1986,Project,Commissioned Study,Masterplan,,FALSE,,Yves Brunier,Xaveer de Geyter,Mike Guyer,Marty Kohn,Karin Rühle,Art Zaaijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\018.jpg,Casa Palestra,Casa-Palestra,oma.eu,1986,Project,Completed,Exhibition,,TRUE,,Mike Guyer,Georges Heintz,Dirk Hendriks,Arjan Karssenberg,Frans Vogelaar,Alex Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\019.jpg,City Hall The Hague,City-Hall-The-Hague,oma.eu,1986,Project,Competition,Office,,TRUE,,Herman Helle,Götz Keller,Brigitte Kochta,Marty Kohn,Willem-Jan Neutelings,Luc Reuse,Ron Steiner,Jeroen Thomas,Garciella Torre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\020.jpg,Nederland nu als Ontwerp,Nederland-nu-als-Ontwerp,oma.eu,1986,Project,Commissioned Study,Masterplan,,TRUE,,Yves Brunier,Kees Christiaanse,Jaap van Heest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\021.jpg,Uithof,Uithof,oma.eu,1986,Project,Completed,Masterplan,,TRUE,,Xaveer de Geyter,Willem-Jan Neutelings,Art Zaaijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\022.jpg,Woningbouw Festival,Woningbouw-Festival,oma.eu,1986,Project,Completed,Residential,,TRUE,,Han v.d. Born,Kees Christiaanse,Art Zaaijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\023.jpg,Biozentrum,Biozentrum,oma.eu,1987,Project,Competition,Education,,TRUE,,Dirk Alten,Christian Delius,Xaveer de Geyter,Christian Rapp,Luc Reuse,Alex Wall,Edith Winkler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\024.jpg,Bus Terminal,Bus-Terminal,oma.eu,1987,Project,Demolished,Infrastructure,,TRUE,,Jaap van Heest,Götz Keller,Karin Rühle,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\025.jpg,Eusebius Tower,Eusebius-Tower,oma.eu,1987,Project,Commissioned Study,Residential,,TRUE,,Kees Christiaanse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\026.jpg,Netherlands Dance Theater,Netherlands-Dance-Theater,oma.eu,1987,Project,Demolished,Theatre,,TRUE,,Jaap van Heest,Dirk Hendriks,Wim Kloosterboer,Willem-Jan Neutelings,Frank Roodbeen,Ron Steiner,Jeroen Thomas,Frans Vogelaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
027,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\027.jpg,Ville Nouvelle Melun Senart,Ville-Nouvelle-Melun-Senart,oma.eu,1987,Project,Competition,Masterplan,,TRUE,,Yves Brunier,Xaveer de Geyter,Mike Guyer,Luc Reuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\028.jpg,De Brink Apartments,De-Brink-Apartments,oma.eu,1988,Project,Completed,Residential,,TRUE,,Stefano de Martino,Georg Ritschl,Jeroen Thomas,Paul de Vroom,Alex Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\029.jpg,Eurodisney,Eurodisney,oma.eu,1988,Project,Design Development,Hotel,,TRUE,,Xaveer de Geyter,Luc Reuse,Ron Steiner,Alex Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\030.jpg,"Ij Plein Masterplan, School and Gymnasium",Ij-Plein-Masterplan-School-and-Gymnasium,oma.eu,1988,Project,Completed,Masterplan,,TRUE,,Kees Christiaanse,Herman de Kovel,Jan Voorberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\031.jpg,Koninginnegracht,Koninginnegracht,oma.eu,1988,Project,Commissioned Study,Residential,,TRUE,,Xaveer de Geyter,Ron Steiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\032.jpg,Netherlands Architecture Institute,Netherlands-Architecture-Institute,oma.eu,1988,Project,Competition,Museum / Gallery,,TRUE,,Kees Christiaanse,Xaveer de Geyter,Cor van der Hout,Gregor Mescherowsky,Alexander Nowotny,Luc Reuse,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\033.jpg,Patio Villa,Patio-Villa,oma.eu,1988,Project,Completed,Residential,,TRUE,,Thijs de Haan,Georges Heintz,Götz Keller,Frank Roodbeen,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\034.jpg,Sportmuseum,Sportmuseum,oma.eu,1988,Project,Commissioned Study,Museum / Gallery,,TRUE,,Luc Reuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\035.jpg,Frankfurt Flughafen,Frankfurt-Flughafen,oma.eu,1989,Project,Competition,Masterplan,,TRUE,,Eric van Daele,Luc Reuse,Ron Steiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\036.jpg,"Presentation of Très Grande Bibliothèque, Rem Koolhaas",Presentation-of-Très-Grande-Bibliothèque,oma.eu,1989,Lecture,Lecture,N/A,,TRUE,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\037.jpg,Stad aan de Stroom,Stad-aan-de-Stroom,oma.eu,1989,Project,Commissioned Study,Masterplan,,TRUE,,Elizabeth Alford,Xaveer de Geyter,Kyoko Hoshino,Winy Maas,Vince Scarano,Ron Steiner,Yushi Uehara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\038.jpg,The First Decade,The-First-Decade,oma.eu,1989,Project,Completed,Exhibition,,FALSE,,Donald van Dansik,Petra Blaisse,Eric van Daele,Herman Helle,Cor van der Hout,Ramon Klein,Luc Reuse,Jennifer Sigler,Kappers Trimensi,Hans Werlemann,Art Zaaijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\039.jpg,Très Grande Bibliothèque,Très-Grande-Bibliothèque,oma.eu,1989,Project,Competition,Library,,TRUE,,Christophe Cornubert,Xaveer de Geyter,Georges Heintz,Ramon Klein,Heike Lohmann,Ron Steiner,Yushi Uehara,Alex Wall,Art Zaaijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\040.jpg,Veerplein,Veerplein,oma.eu,1989,Project,Completed,Residential,,FALSE,,Kees Christiaanse,Christian Delius,Jaap van Heest,Dirk Hendriks,Leo van Immerzeel,Vahé Kalousdian,Christian Rapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\041.jpg,Zeebrugge Sea Terminal,Zeebrugge-Sea-Terminal,oma.eu,1989,Project,Competition,Infrastructure,,TRUE,,Eric van Daele,Xaveer de Geyter,Jaap van Heest,Ramon Klein,Wim Kloosterboer,Maartje Lammers,Luc Reuse,Ron Steiner,Yushi Uehara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\042.jpg,Zentrum fur Kunst und Medientechnologie,Zentrum-fur-Kunst-und-Medientechnologie,oma.eu,1989,Project,Competition,Museum / Gallery,,TRUE,,Christian Basset,Frans Blok,Gro Bonesmo,Eric Carlson,Ruud Cobussen,Christophe Cornubert,Rients Dijkstra,Christine Enzmann,Xaveer de Geyter,Marion Goerdt,Georges Heintz,Kyoko Hoshino,Wim Kloosterboer,Maartje Lammers,Heike Lohmann,Jacob van Rijs,Mark Schendel,Ron Steiner,Jeroen Thomas,Alex Wall,Laura Weeber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\043.jpg,Agadir Convention Centre,Agadir-Convention-Centre,oma.eu,1990,Project,Competition,Theatre,,TRUE,,Elizabeth Alford,Xaveer de Geyter,Winy Maas,Ray Maggiore,Vince Scarano,Ron Steiner,Yushi Uehara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\044.jpg,Checkpoint Charlie Apartments,Checkpoint-Charlie-Apartments,oma.eu,1990,Project,Completed,Residential,,TRUE,,Dirk Alten,Barbara Burren,Reni Keller,Matthias Sauerbruch,Alex Wall,Elia Zenghelis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\045.jpg,Hilton Hotel,Hilton-Hotel,oma.eu,1990,Project,Commissioned Study,Hotel,,TRUE,,Shin-ichi Kanefuji,Hassan Karamine,Winy Maas,Sarah Whiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\046.jpg,Byzantium,Byzantium,oma.eu,1991,Project,Completed,Residential,,TRUE,,Kees Christiaanse,Jaap van Heest,Georges Heintz,Dirk Hendriks,Götz Keller,Marty Kohn,Georg Ritschl,Ron Steiner,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\047.jpg,Furka Blick,Furka-Blick,oma.eu,1991,Project,Completed,Hotel,,TRUE,,Maartje Lammers,Luc Reuse,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\048.jpg,Ij Oever,Ij-Oever,oma.eu,1991,Project,Commissioned Study,Masterplan,,TRUE,,Hernando Arrazola,Rients Dijkstra,Rene Heijne,Winy Maas,Ada Pelder,Alejandro Zaera Polo,Miguel Rodriguez-Casellas,Marco Snijders,Roland Stuy,Hiroki Sugiyama,Wilbert Swinkels,Tom Tulloch,Andy Woodcock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
